c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
7876,-627,1259,-28,146,971,-10891,1753,2916,-108,-6,0,-34,-23,578,11081,1300,137,0,11042,1467,1410,1595,1610,156,-5,203,-6,134,98,255,134
7926,-1133,1255,81,-48,1026,-11135,44,2062,-23,-5,0,-23,-25,577,11042,1293,108,0,11042,1442,1464,1547,1638,88,-44,114,-57,155,94,255,133
7976,-1361,1308,54,-70,862,-4971,593,963,0,-6,0,-22,-25,580,11157,1294,23,0,11119,1490,1429,1576,1604,253,-44,328,-57,169,-110,244,131
8026,-928,1193,145,53,708,399,6087,1024,-21,26,2,-22,-19,579,11119,1288,-31,0,11119,1470,1430,1577,1619,133,-6,172,-8,118,0,244,128
8076,-877,1499,-111,-74,907,-5703,227,1635,-47,58,0,-23,-12,580,11157,1293,-72,0,11196,1462,1446,1581,1616,242,-123,313,-159,198,-99,244,137
8126,-781,1511,-148,201,897,-4055,593,170,-21,93,0,-22,-4,589,11506,1279,-149,0,11506,1482,1400,1607,1605,271,13,347,16,262,0,234,130
8176,-758,1159,-81,-3,993,-1309,-2335,841,-45,78,0,-22,-3,640,13585,1278,-191,0,11940,1488,1438,1606,1644,126,-137,161,-175,151,-151,244,137
8226,-834,650,59,-13,881,-4055,-2885,1146,-2,48,0,-14,-3,669,14844,1250,-241,276,14844,1544,1493,1671,1675,166,-293,208,-367,116,-348,255,138
8276,-909,702,-139,-43,852,5099,3096,-134,32,30,-2,-9,-2,670,14889,1242,-241,284,14933,1553,1526,1689,1698,134,-322,167,-400,119,-487,224,138
8326,-478,1051,-106,-42,881,10592,-5875,-73,297,80,2,50,0,669,14844,1223,-247,276,14844,1552,1533,1660,1724,171,-219,209,-268,328,-501,183,139
8376,97,525,21,-200,1116,20968,-9965,-684,491,42,0,101,-2,672,14978,1220,-192,287,14978,1564,1514,1675,1715,154,-311,188,-380,217,-836,224,139
8426,1355,59,-72,-31,993,34762,-4716,-1172,498,-17,0,121,-3,672,14978,1193,-166,287,14978,1586,1477,1678,1717,113,-518,135,-618,153,-1171,193,142
8476,2928,141,37,-62,1191,33175,-16,-1172,390,-8,2,128,-4,675,15112,1194,-122,291,15022,1563,1507,1682,1718,188,-612,225,-731,128,-1027,183,140
