c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36
9876,392,270,-38,128,1082,4921,-505,-92,24,27,-2,9,1,655,14230,858,626,219,14230,1530,1462,1699,1696,-326,-1004,-280,-861,-291,-1108,204,-125,-283,82,3,152
9926,455,396,-38,-7,1043,5653,-2947,-763,261,36,-4,60,0,653,14143,873,-261,211,14143,1472,1525,1692,1696,-178,-976,-156,-852,-172,-1157,244,-103,-307,83,11,156
9976,391,186,-54,-75,1245,21034,-1665,-1190,495,-18,-4,105,-6,651,14056,603,-2162,204,14056,1542,1454,1689,1688,-233,-1011,-140,-609,-235,-1634,193,-142,-288,83,12,164
10026,1871,464,84,-46,1129,35927,-872,-1007,375,21,-4,106,-5,650,14013,860,1710,199,14013,1548,1429,1703,1690,-226,-1126,-194,-968,-248,-1717,244,-168,-379,83,20,162
10076,2803,553,12,-96,1186,23781,-5144,-336,307,28,-4,111,-4,651,14056,856,-730,208,14100,1510,1464,1697,1701,-273,-1163,-234,-996,-138,-1421,163,-163,-479,84,30,162
10126,3016,28,-42,-40,949,18654,-7647,-824,283,1,-6,109,0,651,14056,839,-375,204,14056,1517,1456,1690,1705,-204,-1249,-171,-1047,-108,-1470,204,-112,-535,84,38,160
10176,3061,-805,-159,-73,1021,20851,-4778,-702,308,-81,-4,115,0,650,14013,837,-337,204,14056,1516,1471,1678,1707,-246,-1327,-206,-1111,-220,-1600,153,-169,-657,85,50,166
10226,3592,-557,183,-67,829,22865,-3618,-153,271,-22,-2,117,0,650,14013,839,391,199,14013,1532,1449,1689,1691,-362,-1347,-304,-1130,-315,-1584,112,-233,-718,86,57,163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10376,3723,-976,52,19,862,18715,1691,151,286,-85,-6,121,0,648,13927,835,-403,199,14013,1540,1466,1684,1682,-444,-1232,-371,-1029,-485,-1401,163,-276,-808,88,72,160
10426,4240,-459,-27,-109,1163,18471,2484,1067,228,-79,-4,121,-6,649,13970,830,-424,195,13970,1519,1480,1672,1697,-372,-1094,-309,-908,-417,-1206,153,-289,-814,88,74,165
10476,4013,-449,14,0,972,15602,5963,335,371,-166,-2,144,-25,652,14100,790,-602,199,14013,1501,1485,1695,1688,-411,-946,-325,-747,-562,-1067,183,-271,-674,87,69,160
10526,3739,-503,-46,27,708,24086,9931,1006,526,-251,-2,168,-39,651,14056,826,-120,204,14056,1527,1451,1694,1693,-359,-916,-297,-757,-639,-1226,112,-212,-651,88,72,163
10576,4059,-211,-159,8,925,33912,18720,1006,558,-302,-2,180,-51,650,14013,807,2377,199,14013,1531,1455,1703,1677,-513,-854,-414,-689,-767,-1223,163,-257,-645,89,69,164
10626,5352,902,136,155,1264,28114,17072,945,406,-174,-4,171,-51,651,14056,806,708,204,14056,1535,1463,1682,1687,-626,-1103,-505,-889,-836,-1318,173,-324,-640,90,71,164
10676,5624,1252,185,85,1040,18593,13287,-214,332,-141,-2,163,-53,649,13970,822,-579,199,14013,1508,1493,1692,1680,-599,-746,-492,-613,-771,-752,255,-332,-613,92,72,164
10726,4981,1442,63,-23,969,13344,12799,1128,306,-146,-6,149,-55,649,13970,807,622,195,13970,1545,1454,1690,1678,-556,-648,-449,-523,-732,-682,244,-338,-615,96,78,162
10776,4629,1711,-16,-101,882,15480,12860,1250,179,-99,-2,119,-48,651,14056,1815,153,195,13970,1514,1469,1701,1680,-537,-420,-974,-762,-688,-367,234,-290,-547,100,78,165
10826,4276,1878,-175,56,853,7606,11762,-31,-182,-22,-2,37,-32,649,13970,789,-331,195,13970,1589,1380,1714,1663,-514,-156,-406,-123,-616,8,224,-288,-475,101,73,159
10876,3984,1884,75,167,783,-15769,5780,1128,-291,56,-4,9,-23,649,13970,767,-679,204,14056,1457,1522,1696,1694,-435,37,-333,28,-374,706,204,-307,-414,102,67,156
10926,1993,1853,-5,-135,1095,-28342,2667,151,-157,76,-2,9,-17,649,13970,744,-558,195,13970,1496,1496,1684,1690,-394,176,-293,131,-282,780,214,-311,-356,102,60,159
