c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36
1126,601,-269,-129,148,686,2118,-1528,-12335,-30,-38,-4,0,0,329,3590,50,32,-284,3590,1310,1150,1436,1379,0,0,0,0,0,0,0,4,44,-118,90,132
1176,1072,-298,24,11,1521,4865,851,-5987,-89,-25,-2,0,0,338,3789,39,27,-248,3789,1150,1204,1430,1436,0,0,0,0,0,0,0,18,11,-115,96,129
1226,985,-193,-91,111,742,3766,-2505,14398,-67,-28,2,0,0,349,4039,67,95,-203,4039,1161,1150,1513,1474,0,0,0,0,0,0,0,15,0,-110,98,129
1276,1,-400,144,-157,981,-261,1705,18731,-16,-17,2,0,0,358,4250,55,4,-167,4250,1150,1150,1454,1480,0,0,0,0,0,0,0,1,-9,-108,94,126
1326,219,-187,53,51,280,3217,485,19036,3,5,0,0,0,365,4418,79,64,-139,4418,1363,1150,1377,1348,0,0,0,0,0,0,0,6,-37,-107,85,122
1376,-330,-107,21,-131,728,-8196,5734,14520,7,-5,2,0,0,364,4394,99,39,-144,4394,1297,1412,1272,1254,0,0,0,0,0,0,0,27,-72,-99,66,128
1426,-335,-59,69,-105,645,348,-5068,1092,17,7,0,0,0,364,4394,48,46,-144,4394,1489,1500,1150,1150,0,0,0,0,0,0,0,47,-68,-90,50,125
1526,161,-175,34,64,1008,-1299,-430,-15325,-8,-8,2,0,0,364,4394,62,83,-144,4394,1318,1363,1238,1324,-738,47,-45,2,-653,-118,0,70,-41,-40,19,140
1576,-989,-311,188,-219,884,-1116,-2871,-11114,66,-8,-4,0,0,364,4394,65,56,-180,4180,1252,1432,1228,1271,-738,47,-48,3,-653,-118,0,46,-53,-9,5,143
1626,-272,-286,78,72,979,13837,-1223,-17218,37,-13,2,0,0,363,4370,63,17,-147,4370,1349,1150,1364,1351,-738,47,-46,2,-653,-118,0,49,-63,4,-6,140
1676,-62,-459,-29,-17,1130,-2031,1583,-8245,3,-40,37,0,0,375,4664,79,29,-100,4664,1150,1217,1491,1420,-738,47,-58,3,-653,-118,0,47,-61,29,-24,142
1726,384,-1199,-94,-22,1117,8038,7748,299,-32,-115,4,0,0,376,4689,68,24,-96,4689,1217,1150,1477,1479,-738,47,-50,3,-653,-118,0,20,-30,40,-32,141
1776,294,-1170,22,26,670,-2459,4147,11956,-26,-102,2,0,0,366,4443,98,90,-127,4491,1220,1195,1375,1428,-738,47,-72,4,-653,-118,0,-25,-37,51,-41,143
1826,-869,-955,-10,-407,682,-12713,-6655,20684,16,-76,2,0,1,364,4394,55,25,-144,4394,1357,1311,1211,1364,-738,47,-40,2,-653,-118,0,-35,-23,54,-45,146
1876,-585,-1400,103,-29,705,-4290,-12149,13543,49,-101,2,0,0,362,4346,96,0,-147,4370,1532,1517,1150,1150,-738,47,-70,4,-653,-118,0,-101,-1,55,-46,146
1926,-1051,-531,209,-14,1069,-12407,-7571,-7208,86,-20,-2,0,0,364,4394,60,-121,-144,4394,1504,1526,1150,1150,-738,47,-44,2,-653,-118,0,-93,-17,47,-48,150
1976,-989,-463,72,26,1315,14752,-3359,-13372,100,-30,0,0,0,362,4346,77,-11,-147,4370,1397,1394,1222,1186,-738,47,-56,3,-653,-118,0,-77,-6,41,-49,145
2026,-989,-633,-95,67,1313,-3862,5734,-17218,95,-62,0,0,0,363,4370,51,-8,-147,4370,1378,1173,1370,1289,-738,47,-37,2,-653,-118,0,-105,-25,37,-52,145
2076,-481,-595,-161,108,1634,16766,4940,-12335,56,-61,2,0,0,361,4322,63,108,-147,4370,1150,1150,1455,1463,-738,47,-46,2,-653,-118,0,-92,-32,27,-59,147
2126,-1409,-976,55,26,751,-4717,-6716,6768,127,-72,0,0,0,362,4346,59,-11,-152,4346,1150,1150,1473,1535,-738,47,-43,2,-653,-118,0,-93,-12,23,-62,144
2176,-675,-889,-71,251,921,10053,-10623,11773,95,-78,2,0,0,363,4370,62,-15,-152,4346,1207,1150,1439,1456,-738,47,-45,2,-653,-118,0,-99,29,17,-61,145
2226,-309,-521,-98,310,1425,13287,3964,21905,44,-51,2,-2,0,392,5096,60,44,-32,5096,1150,1187,1481,1437,-738,47,-44,2,-653,-118,0,-103,14,12,-59,144
2276,-819,-630,162,-292,639,-10332,2194,23919,17,-24,2,-1,1,450,6716,65,53,0,6218,1423,1332,1405,1366,-738,47,-48,3,-653,-118,0,-83,-25,4,-65,142
2326,-797,-669,-23,23,447,7001,2438,11163,75,-31,-2,0,6,450,6716,40,-101,0,6716,1596,1473,1181,1200,-738,47,-29,1,-653,-118,0,-100,-56,0,-71,141
2376,-466,-694,17,-18,1099,1691,302,-2813,33,6,-20,-1,13,452,6776,48,-85,0,6686,1528,1569,1160,1161,-738,47,-35,2,-653,-118,0,-75,-1,-8,-76,140
2426,-928,-678,-47,-42,1408,7550,5307,-19415,86,28,-50,0,18,462,7079,91,9,0,7079,1480,1504,1328,1251,728,-2160,66,-196,758,-2112,0,-61,-30,-21,-64,147
2476,-83,-676,107,138,719,9503,-8364,-6292,30,52,-50,0,18,499,8258,57,1,0,7769,1254,1286,1579,1530,728,-2160,41,-123,758,-2112,0,-40,-73,-35,-55,145
2526,245,-1151,96,286,383,8649,-2871,8966,57,24,-12,2,20,552,10106,57,-37,0,10106,1390,1348,1580,1595,728,-2160,41,-123,758,-2112,0,-20,-68,-39,-53,148
2576,345,-1595,-30,-75,1060,9992,-5862,6829,-19,-41,-12,2,20,572,10852,36,-135,0,10513,1522,1522,1468,1536,-22,-339,0,-12,91,-367,0,-1,-48,-38,-60,147
2626,590,-1328,-26,-91,1265,1508,-918,-6536,-45,-53,-10,2,13,572,10852,76,-32,0,10852,1539,1450,1536,1552,-22,-339,-1,-25,91,-367,0,-2,-66,-39,-65,147
2676,1062,-1446,238,-18,1131,897,-1528,-6475,-85,-93,-4,2,2,574,10928,96,-3,0,10852,1472,1496,1543,1571,-22,-339,-2,-32,91,-367,0,-15,-38,-42,-66,146
2726,1243,-1630,1,2,1303,1691,485,-4278,-99,-138,-8,2,1,575,10966,62,9,0,10966,1518,1432,1553,1574,40,-862,2,-53,51,-880,0,43,-46,-39,-64,138
2776,1683,-1643,-15,86,490,-4473,3414,-5133,-120,-147,-6,2,0,587,11428,53,-4,0,10928,1493,1482,1549,1567,190,-646,10,-34,140,-563,142,2,-30,-37,-64,148
2826,1679,-1469,142,15,908,-10088,4513,-6597,-138,-85,-6,2,6,600,11940,52,16,0,11940,1514,1486,1589,1602,-11,-189,0,-9,-59,0,142,-22,-47,-39,-66,145
2876,809,-1096,-85,0,887,-4839,912,-4705,-63,-72,0,2,6,610,12341,55,-34,4,11980,1530,1472,1574,1618,-11,-189,0,-10,-59,0,0,-8,11,-39,-67,137
2926,555,-1152,-225,50,1198,10236,-7083,-5621,-26,-87,-2,2,6,618,12667,62,123,71,12667,1514,1481,1575,1655,-11,-189,0,-11,-59,0,0,39,9,-37,-65,143
2976,724,-1834,53,27,1459,-200,-5618,-8184,-45,-153,-2,3,0,638,13500,35,67,107,13039,1581,1527,1605,1592,-11,-189,0,-6,-59,0,0,107,46,-27,-59,142
3026,1001,-1908,-131,-163,1429,9564,23190,-8001,-79,-189,-2,3,0,659,14404,81,175,235,14404,1609,1543,1649,1599,-131,6,-10,0,-461,-115,0,159,3,-13,-58,150
3076,1640,-504,-30,317,1289,11273,22579,-7879,-102,-53,0,2,0,674,15067,96,294,296,15067,1613,1548,1653,1675,-131,6,-12,0,-461,-115,0,135,54,6,-52,146
3126,1361,251,83,162,1497,9015,10433,-7391,-95,26,0,2,0,675,15112,130,380,300,15112,1575,1549,1665,1699,-131,6,-17,0,-461,-115,0,11,81,10,-46,142
3176,1706,403,4,211,1257,16156,-13003,-3668,-117,45,0,2,0,674,15067,80,385,296,15067,1617,1527,1635,1705,-131,6,-10,0,-461,-115,0,-19,67,12,-38,144
3226,2355,-716,64,158,630,8832,11349,-6048,-170,-54,-2,2,0,674,15067,128,434,296,15067,1605,1535,1721,1621,-131,6,-16,0,-461,-115,0,-30,115,11,-30,147
3276,2348,781,19,35,1625,3217,23312,-6414,-208,64,-2,0,0,674,15067,153,594,300,15112,1615,1540,1690,1645,-131,6,-20,1,-461,-115,0,-53,124,7,-17,144
3326,1766,1528,110,117,1521,409,3475,-8062,-135,145,-2,2,0,674,15067,189,747,296,15067,1582,1542,1657,1703,-131,6,-24,1,-461,-115,0,-71,100,3,-8,145
3376,1761,1201,19,195,1289,-7708,-7754,-8551,-130,111,-2,2,0,642,13670,236,836,195,13970,1577,1516,1642,1652,-131,6,-30,1,-461,-115,0,-62,135,0,4,146
3426,1096,895,0,76,906,-10027,8114,-7513,-79,76,-2,2,0,640,13585,280,927,159,13585,1562,1520,1669,1603,-131,6,-36,1,-461,-115,0,-61,158,-1,16,142
3476,688,1020,90,-69,1162,-9905,3170,-3424,-57,195,-4,2,19,641,13628,351,996,155,13543,1515,1502,1644,1676,-131,6,-46,2,-461,-115,0,-71,62,-2,26,145
3526,-353,417,169,-186,846,-750,-11050,-5377,131,257,-2,24,39,628,13081,423,976,112,13081,1572,1493,1649,1638,1078,-16,456,-7,1262,-65,163,-24,-12,-18,26,154
3576,282,123,26,295,1040,5475,-7449,-7208,-5,236,0,-2,43,610,12341,458,951,44,12382,1548,1428,1629,1618,954,-115,437,-52,1071,-208,224,84,-2,-56,33,148
3626,682,-296,54,33,649,-7891,-4824,-5865,-69,343,0,-2,71,609,12301,522,965,36,12301,1496,1472,1652,1598,1082,24,564,12,1143,180,183,147,-33,-82,33,148
