,,,,,,,,
12701000,-185,-176,0,-14,1015,405,-394,-266
12749000,-85,-199,0,-4,986,1503,-211,771
12801000,-93,-87,8,0,1033,-144,-943,-937
12849000,-104,-79,-4,-7,958,-1059,-333,893
12901000,-39,-119,11,10,1057,221,216,-1120
12949000,-90,-233,3,-13,990,1015,-882,893
13001000,-49,-133,10,0,1013,221,-211,-1303
13049000,-13,-97,4,0,1047,-22,216,710
13101000,0,-132,21,29,1082,771,-333,2724
13149000,-73,-246,-13,14,807,-1242,1070,-5332
13201000,-35,-276,-36,-29,821,466,1802,2907
13249000,-24,-67,-48,72,1071,893,1253,-1425
13301000,-105,-55,-84,6,1025,710,93,-266
13349000,-104,-42,37,7,1000,-83,216,-205
13401000,59,-150,22,-29,964,954,93,-2707
13449000,-63,0,10,3,942,893,-638,1809
13501000,-150,19,15,-10,1080,-266,-211,-1364
13549000,-216,155,6,-7,992,99,-1126,3640
13601000,-255,256,-41,29,1076,-83,-89,-1120
13649000,-239,117,11,44,1003,-22,-943,588
13701000,-39,8,-10,-23,1005,-83,-821,-3012
13749000,-278,-39,42,0,1058,343,-2225,2846
13801000,-137,9,39,21,1226,-510,-760,-327
13849000,-81,-15,23,27,969,-510,-394,-266
13901000,-164,-53,5,13,1015,405,-882,39
13949000,-89,-112,-20,-11,1136,2114,948,527
14001000,12,-154,15,-15,1169,99,-943,1870
14049000,122,48,58,-20,1201,-83,-516,-2036
14101000,-72,-184,-3,3,907,1747,-394,-876
14149000,-195,-267,-23,9,990,1503,1070,-937
14201000,-48,11,-1,57,1091,588,1009,222
14249000,34,-18,-23,1,1017,-266,1619,-1608
14301000,49,-179,-14,-6,1061,-266,338,1809
14349000,-68,-271,-5,-33,1032,-144,-28,-754
14401000,-131,-36,-28,35,1056,-388,-1004,3762
14449000,-5,-23,11,2,979,99,32,-1731
14501000,-120,-6,12,-5,1084,221,-89,1137
14549000,-289,59,25,-25,965,38,-699,-937
14601000,-190,165,4,-18,992,99,-1004,2236
14649000,-130,200,19,-2,968,-388,-394,405
14701000,-79,210,6,-15,1044,-1059,-211,161
14749000,-145,27,38,-1,990,-266,-516,161
14801000,-168,-50,-6,12,1012,1015,-150,-1242
14849000,-121,12,16,-5,1230,1991,-211,1564
14901000,-17,131,-41,-43,947,-876,-1370,1198
14949000,-8,90,-78,-23,1074,-1853,-28,1320
15001000,-53,122,-29,-21,1239,466,582,-1792
15049000,0,-50,5,-12,1194,1381,-150,771
15101000,120,110,24,13,990,1015,765,-144
15149000,157,133,-6,0,1013,-83,338,-205
15201000,179,157,-13,-26,998,-571,887,1259
15249000,59,163,24,-5,1030,-327,-211,-205
